Order_item_id,Order_id,Menu_item,Quantity,Price
OI00174,ORD72451,Burger,4,365
OI00175,ORD14997,Sushi,2,368
OI00176,ORD49567,Wrap,3,110
OI00177,ORD09496,Noodles,3,399
OI00178,ORD88063,Salad,5,188
OI00179,ORD17322,Sushi,5,381
OI00180,ORD17160,Biryani,5,165
OI00181,ORD02816,Noodles,4,484
OI00182,ORD35762,Soup,4,94
OI00183,ORD08532,Ice Cream,5,316
OI00184,ORD19749,Fries,1,127
OI00185,ORD59320,Noodles,5,244
OI00186,ORD81598,Fries,1,214
OI00187,ORD62324,Tacos,5,274
OI00188,ORD45370,Pizza,3,277
OI00189,ORD56883,Cake,2,258
OI00190,ORD82963,Wrap,2,318
OI00191,ORD26469,Steak,4,337
OI00192,ORD90723,Sandwich,1,331
OI00193,ORD47566,Pasta,4,176
OI00194,ORD78393,Sandwich,3,472
OI00195,ORD17196,Biryani,4,115
OI00196,ORD56615,Sandwich,5,116
OI00197,ORD01183,Tacos,4,137
OI00198,ORD26900,Ice Cream,1,255
OI00199,ORD17616,Fries,1,225
OI00200,ORD64692,Salad,1,295
OI00201,ORD47506,Pasta,3,119
OI00202,ORD59053,Pizza,5,269
OI00203,ORD44181,Soup,2,370
OI00204,ORD30682,Steak,2,474
OI00205,ORD09299,Steak,1,352
OI00206,ORD49736,Pasta,5,325
OI00207,ORD88969,Sandwich,1,381
OI00208,ORD70381,Sushi,5,475
OI00209,ORD82524,Salad,2,486
OI00210,ORD03352,Pizza,3,88
OI00211,ORD08335,Salad,5,404
OI00212,ORD91018,Tacos,3,461
OI00213,ORD05207,Sushi,5,203
OI00214,ORD03656,Steak,5,155
OI00215,ORD40487,Salad,4,178
OI00216,ORD33758,Fries,1,68
OI00217,ORD12116,Tacos,5,382
OI00218,ORD41847,Tacos,2,261
OI00219,ORD51853,Steak,1,244
OI00220,ORD70370,Tacos,5,290
OI00221,ORD51815,Pizza,4,214
OI00222,ORD66101,Pasta,1,395
OI00223,ORD35868,Soup,2,458
OI00224,ORD81736,Biryani,2,440
OI00225,ORD80891,Pizza,2,369
OI00226,ORD78674,Burger,4,352
OI00227,ORD79200,Sushi,4,64
OI00228,ORD70860,Sushi,5,447
OI00229,ORD38965,Ice Cream,3,326
OI00230,ORD85583,Pizza,3,65
OI00231,ORD23282,Salad,5,309
OI00232,ORD35628,Pizza,4,93
OI00233,ORD80074,Sandwich,3,109
OI00234,ORD21019,Cake,5,123
OI00235,ORD26833,Sushi,3,203
OI00236,ORD05006,Noodles,5,55
OI00237,ORD44578,Sandwich,5,247
OI00238,ORD90628,Tacos,1,187
OI00239,ORD63179,Cake,5,202
OI00240,ORD39899,Ice Cream,2,323
OI00241,ORD33702,Wrap,2,186
OI00242,ORD01839,Fries,1,246
OI00243,ORD11726,Fries,2,435
OI00244,ORD75980,Biryani,2,334
OI00245,ORD63042,Pasta,3,453
OI00246,ORD63651,Pasta,2,258
OI00247,ORD02453,Steak,4,494
OI00248,ORD56942,Pizza,3,439
OI00249,ORD10213,Sandwich,2,413
OI00250,ORD75016,Pasta,4,198
OI00251,ORD74172,Ice Cream,5,337
OI00252,ORD53019,Steak,4,121
OI00253,ORD70305,Sandwich,4,472
OI00254,ORD23608,Cake,4,212
OI00255,ORD32245,Fries,5,155
OI00256,ORD87237,Noodles,1,134
OI00257,ORD57415,Ice Cream,1,253
OI00258,ORD01480,Fries,3,151
OI00259,ORD53410,Steak,4,209
OI00260,ORD34936,Soup,3,403
OI00261,ORD40486,Soup,2,147
OI00262,ORD83680,Fries,1,333
OI00263,ORD31133,Steak,3,448
OI00264,ORD55837,Sandwich,3,464
OI00265,ORD85535,Burger,4,132
OI00266,ORD51772,Salad,5,493
OI00267,ORD05042,Sushi,4,222
OI00268,ORD34349,Fries,2,447
OI00269,ORD21146,Cake,3,144
OI00270,ORD18666,Ice Cream,1,305
OI00271,ORD03617,Fries,1,172
OI00272,ORD63953,Ice Cream,4,219
OI00273,ORD37072,Soup,3,202
OI00274,ORD51095,Steak,5,265
OI00275,ORD44898,Steak,2,343
OI00276,ORD33236,Fries,1,368
OI00277,ORD57973,Steak,2,414
OI00278,ORD87704,Pasta,4,282
OI00279,ORD79790,Biryani,1,278
OI00280,ORD57963,Pizza,3,142
OI00281,ORD82465,Noodles,3,365
OI00282,ORD02613,Steak,3,53
OI00283,ORD08539,Sandwich,5,454
OI00284,ORD79128,Noodles,4,197
OI00285,ORD02358,Cake,3,138
OI00286,ORD18540,Fries,5,153
OI00287,ORD32529,Sandwich,4,174
OI00288,ORD26299,Tacos,2,83
OI00289,ORD40553,Noodles,5,277
OI00290,ORD04851,Tacos,1,333
OI00291,ORD69139,Steak,1,191
OI00292,ORD69631,Ice Cream,5,187
OI00293,ORD39398,Soup,3,291
OI00294,ORD66042,Soup,2,390
OI00295,ORD33019,Steak,2,423
OI00296,ORD82204,Sushi,2,363
OI00297,ORD60562,Wrap,3,243
OI00298,ORD77935,Noodles,4,96
OI00299,ORD87339,Burger,2,332
OI00300,ORD62902,Pasta,1,343
OI00301,ORD16173,Pasta,1,251
OI00302,ORD75029,Salad,1,445
OI00303,ORD41404,Pasta,3,291
OI00304,ORD11549,Soup,3,486
OI00305,ORD61046,Sushi,2,355
OI00306,ORD73874,Sushi,2,50
OI00307,ORD08485,Steak,4,108
OI00308,ORD69539,Sandwich,5,423
OI00309,ORD48420,Pasta,3,91
OI00310,ORD60449,Biryani,5,152
OI00311,ORD20378,Soup,4,457
OI00312,ORD31595,Salad,1,241
OI00313,ORD07455,Ice Cream,5,50
OI00314,ORD50649,Ice Cream,5,272
OI00315,ORD13434,Noodles,5,230
OI00316,ORD22805,Burger,5,200
OI00317,ORD44064,Fries,2,437
OI00318,ORD42513,Pizza,3,64
OI00319,ORD87520,Cake,1,410
OI00320,ORD38858,Tacos,2,257
OI00321,ORD59413,Pasta,2,331
OI00322,ORD80968,Burger,3,451
OI00323,ORD41883,Burger,4,312
OI00324,ORD01780,Biryani,3,72
OI00325,ORD62001,Biryani,5,390
OI00326,ORD80922,Sandwich,2,452
OI00327,ORD83164,Salad,5,181
OI00328,ORD03539,Sushi,5,390
OI00329,ORD28012,Sandwich,4,110
OI00330,ORD00214,Noodles,1,135
OI00331,ORD26057,Soup,5,424
OI00332,ORD28002,Salad,5,431
OI00333,ORD20292,Ice Cream,1,278
OI00334,ORD40880,Cake,2,458
OI00335,ORD62402,Biryani,3,292
OI00336,ORD25394,Pasta,2,322
OI00337,ORD61327,Biryani,3,93
OI00338,ORD64170,Biryani,5,400
OI00339,ORD20181,Soup,2,462
OI00340,ORD85268,Salad,5,432
OI00341,ORD07785,Sandwich,3,400
OI00342,ORD79153,Sandwich,4,131
OI00343,ORD02350,Biryani,4,145
OI00344,ORD27897,Salad,5,141
OI00345,ORD30139,Wrap,1,127
OI00346,ORD24572,Cake,4,63
OI00347,ORD91988,Cake,1,378
OI00348,ORD39188,Burger,5,201
OI00349,ORD51303,Noodles,1,231
OI00350,ORD44904,Burger,2,242
OI00351,ORD47714,Burger,2,320
OI00352,ORD50554,Wrap,1,382
OI00353,ORD66702,Biryani,2,382
OI00354,ORD81252,Tacos,2,411
OI00355,ORD62697,Salad,3,322
OI00356,ORD75751,Burger,3,65
OI00357,ORD66742,Biryani,4,50
OI00358,ORD11606,Cake,3,487
OI00359,ORD38217,Steak,3,423
OI00360,ORD75763,Salad,5,76
OI00361,ORD20622,Ice Cream,5,122
OI00362,ORD81742,Sushi,5,181
OI00363,ORD26338,Steak,3,151
OI00364,ORD29116,Sandwich,1,221
OI00365,ORD34098,Soup,5,79
OI00366,ORD22851,Ice Cream,1,301
OI00367,ORD19658,Ice Cream,1,218
OI00368,ORD52538,Biryani,4,129
OI00369,ORD83068,Sandwich,4,323
OI00370,ORD50319,Wrap,2,108
OI00371,ORD85040,Fries,2,305
OI00372,ORD47888,Cake,1,230
OI00373,ORD36494,Burger,1,376
OI00374,ORD75497,Fries,3,497
OI00375,ORD50913,Steak,3,240
OI00376,ORD78773,Burger,2,410
OI00377,ORD47258,Steak,3,478
OI00378,ORD86863,Salad,1,338
OI00379,ORD06376,Pasta,4,109
OI00380,ORD72357,Pizza,4,378
OI00381,ORD13269,Salad,4,489
OI00382,ORD00804,Steak,3,108
OI00383,ORD11051,Tacos,4,468
OI00384,ORD04820,Ice Cream,1,372
OI00385,ORD29322,Fries,5,390
OI00386,ORD26401,Sandwich,5,285
OI00387,ORD13903,Noodles,1,195
OI00388,ORD34424,Tacos,5,149
OI00389,ORD19289,Soup,1,329
OI00390,ORD28726,Wrap,2,187
OI00391,ORD68297,Tacos,1,288
OI00392,ORD37013,Fries,3,258
OI00393,ORD55901,Steak,1,329
OI00394,ORD43708,Sushi,3,59
OI00395,ORD82678,Burger,2,257
OI00396,ORD84452,Pizza,3,377
OI00397,ORD52937,Sandwich,5,70
OI00398,ORD12899,Noodles,2,299
OI00399,ORD56807,Biryani,4,204
OI00400,ORD87304,Sushi,5,431
OI00401,ORD15858,Pasta,5,159
OI00402,ORD24529,Fries,5,170
OI00403,ORD12270,Fries,5,197
OI00404,ORD15109,Ice Cream,1,426
OI00405,ORD18447,Steak,1,268
OI00406,ORD66510,Noodles,1,340
OI00407,ORD47955,Sushi,4,309
OI00408,ORD86627,Burger,5,278
OI00409,ORD43560,Pizza,3,396
OI00410,ORD55106,Pizza,3,81
OI00411,ORD15036,Burger,3,351
OI00412,ORD84792,Sushi,4,455
OI00413,ORD05880,Sandwich,2,452
OI00414,ORD67000,Biryani,1,184
OI00415,ORD01347,Soup,3,79
OI00416,ORD14373,Biryani,5,106
OI00417,ORD19355,Cake,5,124
OI00418,ORD20616,Tacos,3,188
OI00419,ORD04916,Sandwich,5,249
OI00420,ORD29356,Pizza,5,260
OI00421,ORD68062,Noodles,1,187
OI00422,ORD50909,Soup,3,136
OI00423,ORD36541,Soup,5,451
OI00424,ORD54111,Wrap,2,376
OI00425,ORD66227,Sandwich,1,365
OI00426,ORD81457,Fries,1,361
OI00427,ORD48434,Burger,5,344
OI00428,ORD74749,Salad,2,439
OI00429,ORD44779,Burger,4,56
OI00430,ORD00822,Noodles,2,484
OI00431,ORD04160,Pizza,4,424
OI00432,ORD19358,Biryani,4,408
OI00433,ORD77472,Salad,4,169
OI00434,ORD06500,Sushi,5,258
OI00435,ORD40783,Steak,4,496
OI00436,ORD20052,Biryani,4,303
OI00437,ORD35546,Tacos,1,478
OI00438,ORD47694,Fries,5,258
OI00439,ORD19863,Salad,5,213
OI00440,ORD31681,Fries,1,237
OI00441,ORD46688,Fries,1,300
OI00442,ORD46854,Fries,2,159
OI00443,ORD62652,Fries,1,336
OI00444,ORD31368,Tacos,2,392
OI00445,ORD83297,Pasta,1,260
OI00446,ORD47335,Pizza,3,482
OI00447,ORD68330,Steak,3,391
OI00448,ORD10580,Sushi,3,348
OI00449,ORD38853,Soup,3,88
OI00450,ORD07518,Salad,2,387
OI00451,ORD84206,Sandwich,5,178
OI00452,ORD13432,Biryani,4,362
OI00453,ORD09950,Burger,5,146
OI00454,ORD77127,Salad,4,449
OI00455,ORD30398,Tacos,4,68
OI00456,ORD01289,Noodles,5,255
OI00457,ORD12802,Fries,1,92
OI00458,ORD64765,Noodles,5,210
OI00459,ORD79851,Cake,2,180
OI00460,ORD51841,Tacos,5,311
OI00461,ORD40986,Pizza,3,267
OI00462,ORD52532,Fries,2,237
OI00463,ORD80953,Tacos,2,297
OI00464,ORD24689,Pasta,4,327
OI00465,ORD86866,Sushi,1,281
OI00466,ORD40389,Soup,4,55
OI00467,ORD58561,Sushi,3,351
OI00468,ORD11799,Pasta,3,428
OI00469,ORD76833,Sandwich,4,446
OI00470,ORD86270,Noodles,3,462
OI00471,ORD11610,Sushi,5,221
OI00472,ORD81671,Salad,1,191
OI00473,ORD41715,Pizza,5,320
OI00474,ORD24563,Pizza,4,67
OI00475,ORD33966,Pizza,5,258
OI00476,ORD40028,Tacos,2,348
OI00477,ORD26825,Soup,2,454
OI00478,ORD91145,Soup,1,333
OI00479,ORD44635,Steak,4,316
OI00480,ORD69104,Sushi,1,371
OI00481,ORD62907,Pasta,5,438
OI00482,ORD77457,Sandwich,2,456
OI00483,ORD90516,Burger,3,473
OI00484,ORD13713,Sushi,5,380
OI00485,ORD83808,Fries,2,426
OI00486,ORD00856,Biryani,4,229
OI00487,ORD26699,Soup,5,119
OI00488,ORD38443,Salad,3,167
OI00489,ORD29901,Ice Cream,1,58
OI00490,ORD08292,Fries,4,363
OI00491,ORD37991,Fries,1,242
OI00492,ORD49809,Tacos,1,225
OI00493,ORD52648,Cake,5,280
OI00494,ORD44374,Steak,4,147
OI00495,ORD58891,Pizza,1,365
OI00496,ORD28889,Wrap,2,423
OI00497,ORD89257,Biryani,2,406
OI00498,ORD67385,Pizza,1,346
OI00499,ORD74290,Burger,4,388
OI00500,ORD74783,Biryani,4,479
OI00501,ORD68849,Biryani,4,76
OI00502,ORD37251,Salad,3,418
OI00503,ORD81727,Pizza,3,282
OI00504,ORD19128,Ice Cream,5,391
OI00505,ORD31243,Pizza,5,73
OI00506,ORD83087,Ice Cream,4,88
OI00507,ORD27918,Wrap,4,112
OI00508,ORD40293,Salad,4,183
OI00509,ORD18762,Salad,5,470
OI00510,ORD50022,Sushi,5,213
OI00511,ORD85527,Cake,1,153
OI00512,ORD57782,Cake,4,196
OI00513,ORD35515,Ice Cream,2,296
OI00514,ORD29614,Wrap,2,165
OI00515,ORD89983,Cake,5,226
OI00516,ORD01507,Cake,1,417
OI00517,ORD73970,Pasta,5,325
OI00518,ORD58690,Steak,3,443
OI00519,ORD43819,Pizza,2,237
OI00520,ORD89320,Soup,3,472
OI00521,ORD52106,Burger,3,333
OI00522,ORD03299,Biryani,2,390
OI00523,ORD80428,Pizza,4,164
OI00524,ORD66929,Ice Cream,5,302
OI00525,ORD39216,Steak,3,146
OI00526,ORD68063,Sandwich,1,445
OI00527,ORD19487,Cake,4,186
OI00528,ORD28355,Cake,5,135
OI00529,ORD83380,Salad,5,114
OI00530,ORD55437,Noodles,5,234
OI00531,ORD91206,Tacos,3,141
OI00532,ORD48992,Soup,4,156
OI00533,ORD27726,Wrap,2,381
OI00534,ORD33573,Wrap,2,118
OI00535,ORD78844,Fries,1,299
OI00536,ORD63675,Steak,3,323
OI00537,ORD48363,Sandwich,2,337
OI00538,ORD78094,Burger,2,55
OI00539,ORD49497,Pasta,4,355
OI00540,ORD02999,Steak,3,196
OI00541,ORD09790,Noodles,5,395
OI00542,ORD88620,Sushi,3,125
OI00543,ORD85843,Noodles,5,286
OI00544,ORD72607,Noodles,1,152
OI00545,ORD53239,Noodles,4,208
OI00546,ORD29895,Wrap,3,191
OI00547,ORD44149,Wrap,4,245
OI00548,ORD37919,Burger,1,309
OI00549,ORD40494,Steak,1,334
OI00550,ORD52642,Soup,2,347
OI00551,ORD80231,Pizza,4,316
OI00552,ORD72547,Pasta,2,241
OI00553,ORD54107,Pizza,3,106
OI00554,ORD14069,Noodles,3,346
OI00555,ORD90756,Soup,2,495
OI00556,ORD04386,Sushi,4,436
OI00557,ORD74744,Sushi,4,177
OI00558,ORD00117,Ice Cream,3,117
OI00559,ORD13439,Cake,5,100
OI00560,ORD25550,Biryani,4,165
OI00561,ORD19353,Wrap,2,500
OI00562,ORD45734,Noodles,5,243
OI00563,ORD83048,Fries,1,298
OI00564,ORD63742,Steak,1,225
OI00565,ORD62421,Noodles,1,160
OI00566,ORD35574,Soup,2,255
OI00567,ORD62185,Wrap,2,356
OI00568,ORD30975,Steak,2,404
OI00569,ORD79930,Pasta,1,353
OI00570,ORD56211,Cake,3,96
OI00571,ORD73551,Salad,3,266
OI00572,ORD18613,Steak,4,51
OI00573,ORD58066,Pizza,3,73
OI00574,ORD09259,Fries,3,419
OI00575,ORD27168,Wrap,3,412
OI00576,ORD72889,Noodles,3,256
OI00577,ORD45176,Sushi,3,59
OI00578,ORD02970,Pasta,3,329
OI00579,ORD17008,Sushi,2,435
OI00580,ORD04595,Steak,4,74
OI00581,ORD65418,Sandwich,5,404
OI00582,ORD46178,Pasta,2,71
OI00583,ORD49735,Burger,5,141
OI00584,ORD16225,Wrap,3,445
OI00585,ORD27738,Sandwich,1,220
OI00586,ORD00542,Noodles,5,482
OI00587,ORD45812,Ice Cream,5,253
OI00588,ORD20659,Salad,5,120
OI00589,ORD15332,Steak,4,175
OI00590,ORD36623,Cake,2,461
OI00591,ORD37413,Pizza,3,478
OI00592,ORD61853,Cake,1,385
OI00593,ORD35001,Tacos,3,233
OI00594,ORD55325,Pasta,1,313
OI00595,ORD76584,Steak,2,431
OI00596,ORD39576,Wrap,4,290
OI00597,ORD91769,Pasta,2,471
OI00598,ORD58177,Pasta,5,380
OI00599,ORD73976,Sushi,2,433
OI00600,ORD75921,Noodles,4,162
OI00601,ORD02094,Biryani,5,354
OI00602,ORD22681,Sandwich,4,84
OI00603,ORD84740,Salad,1,169
OI00604,ORD18814,Wrap,5,387
OI00605,ORD08698,Salad,5,294
OI00606,ORD18578,Ice Cream,1,142
OI00607,ORD38869,Noodles,1,273
OI00608,ORD57985,Steak,1,140
OI00609,ORD21010,Fries,5,301
OI00610,ORD30208,Steak,1,72
OI00611,ORD41721,Steak,2,391
OI00612,ORD87589,Cake,2,454
OI00613,ORD57356,Noodles,5,413
OI00614,ORD12702,Biryani,3,365
OI00615,ORD73789,Sandwich,4,95
OI00616,ORD89217,Noodles,4,180
OI00617,ORD20950,Salad,5,75
OI00618,ORD10867,Tacos,5,93
OI00619,ORD20715,Ice Cream,3,480
OI00620,ORD89944,Cake,1,283
OI00621,ORD62231,Burger,4,191
OI00622,ORD46952,Sushi,5,220
OI00623,ORD40783,Steak,1,221
OI00624,ORD43825,Steak,1,300
OI00625,ORD48807,Cake,1,363
OI00626,ORD61635,Sushi,2,332
OI00627,ORD86137,Fries,2,401
OI00628,ORD55190,Sandwich,3,285
OI00629,ORD70651,Burger,3,88
OI00630,ORD53499,Biryani,4,476
OI00631,ORD84302,Ice Cream,2,464
OI00632,ORD30974,Soup,2,389
OI00633,ORD71378,Salad,5,431
OI00634,ORD18381,Sandwich,4,100
OI00635,ORD79468,Pizza,5,129
OI00636,ORD22185,Soup,3,140
OI00637,ORD25259,Sushi,5,201
OI00638,ORD30274,Wrap,5,61
OI00639,ORD43069,Cake,1,283
OI00640,ORD26619,Noodles,1,310
OI00641,ORD45064,Pasta,5,204
OI00642,ORD75891,Sandwich,5,448
OI00643,ORD43372,Burger,3,174
OI00644,ORD67813,Soup,3,271
OI00645,ORD63490,Fries,2,206
OI00646,ORD52846,Biryani,1,249
OI00647,ORD91815,Fries,2,461
OI00648,ORD61133,Soup,3,218
OI00649,ORD77026,Steak,1,400
OI00650,ORD43435,Soup,3,470
OI00651,ORD83006,Sandwich,1,319
OI00652,ORD02223,Biryani,4,90
OI00653,ORD79351,Pizza,4,357
OI00654,ORD07939,Sushi,4,463
OI00655,ORD85594,Soup,3,55
OI00656,ORD04071,Fries,4,433
OI00657,ORD77516,Noodles,1,338
OI00658,ORD24255,Cake,4,355
OI00659,ORD15687,Sushi,5,199
OI00660,ORD09485,Salad,5,169
OI00661,ORD30304,Fries,4,127
OI00662,ORD15465,Tacos,1,309
OI00663,ORD26979,Fries,2,168
OI00664,ORD66253,Fries,2,239
OI00665,ORD32628,Tacos,3,248
OI00666,ORD60818,Soup,1,308
OI00667,ORD38344,Pasta,3,488
OI00668,ORD69105,Steak,2,291
OI00669,ORD77506,Burger,3,352
OI00670,ORD33665,Sushi,5,487
OI00671,ORD05689,Salad,2,265
OI00672,ORD54499,Pizza,4,108
OI00673,ORD85030,Sushi,4,78
OI00674,ORD11771,Pasta,5,497
OI00675,ORD20672,Ice Cream,5,499
OI00676,ORD08380,Ice Cream,4,77
OI00677,ORD04659,Noodles,1,305
OI00678,ORD16205,Wrap,4,157
OI00679,ORD50692,Biryani,5,329
OI00680,ORD20009,Steak,4,288
OI00681,ORD58979,Tacos,5,303
OI00682,ORD18054,Pizza,3,362
OI00683,ORD15100,Sandwich,2,57
OI00684,ORD07793,Burger,3,316
OI00685,ORD77319,Biryani,4,359
OI00686,ORD87199,Sushi,1,415
OI00687,ORD64989,Pasta,5,158
OI00688,ORD89458,Soup,2,69
OI00689,ORD10516,Pasta,4,87
OI00690,ORD15268,Ice Cream,1,105
OI00691,ORD18342,Wrap,3,168
OI00692,ORD11877,Biryani,5,238
OI00693,ORD22146,Burger,5,207
OI00694,ORD61148,Salad,5,212
OI00695,ORD43963,Soup,2,102
OI00696,ORD19049,Soup,1,417
OI00697,ORD40308,Wrap,2,351
OI00698,ORD58786,Sushi,1,278
OI00699,ORD77073,Cake,5,324
OI00700,ORD46390,Steak,4,307
OI00701,ORD73002,Biryani,1,429
OI00702,ORD40955,Steak,4,457
OI00703,ORD88702,Salad,2,465
OI00704,ORD91743,Pasta,3,404
OI00705,ORD17083,Pasta,4,386
